homology_group,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
830075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830076,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
830077,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1
830078,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
830079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830089,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
830090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830097,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
830098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830100,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
830101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
