#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
216496,accessory,4,1,,1,,,
216497,accessory,1,1,,1,,,
216497,accessory,3,1,,1,,,
216497,accessory,4,1,,1,,,
216499,accessory,1,2,,2,1,1,
216503,accessory,1,1,,1,,,
216503,accessory,3,1,,1,,,
216503,accessory,4,1,,1,,,
216504,accessory,1,1,,1,,,
216504,accessory,3,1,,1,,,
216504,accessory,4,1,,1,,,
216506,accessory,1,1,,1,,,
216506,accessory,3,1,,1,,,
216506,accessory,4,1,,1,,,
216507,accessory,1,1,,1,,,
216507,accessory,3,1,,1,,,
216507,accessory,4,1,,1,,,
216509,accessory,1,1,,1,,,
216509,accessory,3,1,,1,,,
216509,accessory,4,1,,1,,,
216510,accessory,2,1,1,,,,
216510,accessory,3,1,1,,,,
216510,accessory,4,1,1,,,,
216513,accessory,1,1,,1,,,
216513,accessory,3,1,,1,,,
216513,accessory,4,1,,1,,,
216514,accessory,1,1,,1,,,
216514,accessory,3,1,,1,,,
216514,accessory,4,1,,1,,,
216515,accessory,1,1,,1,,,
216515,accessory,3,1,,1,,,
216515,accessory,4,1,,1,,,
216516,accessory,1,1,,1,,,
216516,accessory,3,1,,1,,,
216516,accessory,4,1,,1,,,
216517,accessory,1,1,,1,,,
216517,accessory,3,1,,1,,,
216517,accessory,4,1,,1,,,
216518,accessory,1,1,,1,,,
216518,accessory,3,1,,1,,,
216518,accessory,4,1,,1,,,
216519,core,1,2,,1,,,
216519,core,3,2,,1,,,
216519,core,4,2,,1,,,
216521,accessory,1,1,,1,,,
216521,accessory,3,1,,1,,,
216521,accessory,4,1,,1,,,
216522,accessory,1,1,,1,,,
216522,accessory,3,1,,1,,,
216522,accessory,4,1,,1,,,
216524,accessory,1,1,,1,,,
216524,accessory,3,1,,1,,,
216524,accessory,4,1,,1,,,
216526,accessory,1,1,,1,,,
216526,accessory,3,1,,1,,,
216526,accessory,4,1,,1,,,
216527,accessory,1,1,,1,,,
216527,accessory,3,1,,1,,,
216527,accessory,4,1,,1,,,
216529,accessory,1,1,,1,,,
216529,accessory,3,1,,1,,,
216529,accessory,4,1,,1,,,
216530,accessory,1,1,,1,1,,
216530,accessory,4,1,,1,1,,
216532,accessory,1,1,,1,1,,
216532,accessory,4,1,,1,1,,
216533,accessory,1,1,,1,,,
216533,accessory,3,1,,1,,,
216533,accessory,4,1,,1,,,
216535,accessory,1,1,,1,,,
216535,accessory,3,1,,1,,,
216535,accessory,4,1,,1,,,
216536,accessory,1,1,,1,,1,
216536,accessory,3,1,,1,,1,
216537,core,3,2,1,1,,1,
216538,accessory,3,2,1,2,,1,
216539,accessory,1,1,,1,,,
216539,accessory,3,1,,1,,,
216539,accessory,4,1,,1,,,
216540,core,1,2,,1,,,
216540,core,3,2,,1,,,
216540,core,4,2,,1,,,
216543,accessory,1,1,,1,,,
216543,accessory,3,1,,1,,,
216543,accessory,4,1,,1,,,
216544,accessory,1,1,,1,,,
216544,accessory,3,1,,1,,,
216544,accessory,4,1,,1,,,
216545,accessory,1,1,,1,,,
216545,accessory,3,1,,1,,,
216545,accessory,4,1,,1,,,
216546,core,3,3,1,1,,,
216546,core,4,3,1,1,,,
216547,core,1,3,,2,2,2,
216551,accessory,2,1,1,,,,
216551,accessory,3,1,1,,,,
216551,accessory,4,1,1,,,,
216557,accessory,1,1,,1,,,
216557,accessory,3,1,,1,,,
216557,accessory,4,1,,1,,,
216559,accessory,1,1,,1,,,
216559,accessory,3,1,,1,,,
216559,accessory,4,1,,1,,,
216561,accessory,1,1,,1,,,
216561,accessory,3,1,,1,,,
216561,accessory,4,1,,1,,,
216562,accessory,1,1,,1,,,
216562,accessory,3,1,,1,,,
216562,accessory,4,1,,1,,,
216563,accessory,1,1,,1,,,
216563,accessory,3,1,,1,,,
216563,accessory,4,1,,1,,,
216566,accessory,1,1,,1,,,
216566,accessory,3,1,,1,,,
216566,accessory,4,1,,1,,,
216567,accessory,1,1,,1,,,
216567,accessory,3,1,,1,,,
216567,accessory,4,1,,1,,,
216568,accessory,1,1,,1,,,
216568,accessory,3,1,,1,,,
216568,accessory,4,1,,1,,,
216569,accessory,1,1,,1,,,
216569,accessory,3,1,,1,,,
216569,accessory,4,1,,1,,,
216570,accessory,1,1,,1,,,
216570,accessory,3,1,,1,,,
216570,accessory,4,1,,1,,,
216572,accessory,1,1,,1,,,
216572,accessory,3,1,,1,,,
216572,accessory,4,1,,1,,,
216575,accessory,1,1,,1,,,
216575,accessory,3,1,,1,,,
216575,accessory,4,1,,1,,,
216576,accessory,1,1,,1,,,
216576,accessory,3,1,,1,,,
216576,accessory,4,1,,1,,,
216577,accessory,1,1,,1,,,
216577,accessory,3,1,,1,,,
216577,accessory,4,1,,1,,,
216578,accessory,1,1,,1,,,
216578,accessory,3,1,,1,,,
216578,accessory,4,1,,1,,,
216579,accessory,1,1,,1,,,
216579,accessory,3,1,,1,,,
216579,accessory,4,1,,1,,,
216581,accessory,1,1,,1,,1,
216581,accessory,3,1,,1,,1,
216582,accessory,1,1,,1,,,
216582,accessory,3,1,,1,,,
216582,accessory,4,1,,1,,,
216583,accessory,1,1,,1,,,
216583,accessory,3,1,,1,,,
216583,accessory,4,1,,1,,,
216584,accessory,1,1,,1,,,
216584,accessory,3,1,,1,,,
216584,accessory,4,1,,1,,,
216586,accessory,1,1,,1,,1,
216586,accessory,3,1,,1,,1,
216588,accessory,1,1,,1,,,
216588,accessory,3,1,,1,,,
216588,accessory,4,1,,1,,,
216589,accessory,1,1,,1,,,
216589,accessory,3,1,,1,,,
216589,accessory,4,1,,1,,,
216590,accessory,1,1,,1,,,
216590,accessory,3,1,,1,,,
216590,accessory,4,1,,1,,,
216591,accessory,1,1,,1,,,
216591,accessory,3,1,,1,,,
216591,accessory,4,1,,1,,,
216592,core,1,3,,1,,,
216592,core,3,3,,1,,,
216592,core,4,3,,1,,,
216593,accessory,1,1,,1,,1,
216593,accessory,3,1,,1,,1,
216594,accessory,1,1,,1,,,
216594,accessory,3,1,,1,,,
216594,accessory,4,1,,1,,,
216595,accessory,1,1,,1,,,
216595,accessory,3,1,,1,,,
216595,accessory,4,1,,1,,,
216596,accessory,3,1,1,1,,,
216596,accessory,4,1,1,1,,,
216597,accessory,1,1,,1,,,
216597,accessory,3,1,,1,,,
216597,accessory,4,1,,1,,,
216598,accessory,1,1,,1,,,
216598,accessory,3,1,,1,,,
216598,accessory,4,1,,1,,,
216599,accessory,1,1,,1,,,
216599,accessory,3,1,,1,,,
216599,accessory,4,1,,1,,,
216600,accessory,1,1,,1,,,
216600,accessory,3,1,,1,,,
216600,accessory,4,1,,1,,,
216601,accessory,1,1,,1,,,
216601,accessory,3,1,,1,,,
216601,accessory,4,1,,1,,,
216603,accessory,1,1,,1,,,
216603,accessory,3,1,,1,,,
216603,accessory,4,1,,1,,,
216604,accessory,1,1,,1,,,
216604,accessory,3,1,,1,,,
216604,accessory,4,1,,1,,,
216605,accessory,1,1,,1,,,
216605,accessory,3,1,,1,,,
216605,accessory,4,1,,1,,,
216606,accessory,1,1,,1,,,
216606,accessory,3,1,,1,,,
216606,accessory,4,1,,1,,,
216607,core,1,2,,1,,,
216607,core,3,2,,1,,,
216607,core,4,2,,1,,,
216610,accessory,1,1,,1,,,
216610,accessory,3,1,,1,,,
216610,accessory,4,1,,1,,,
216612,accessory,1,1,,1,,,
216612,accessory,3,1,,1,,,
216612,accessory,4,1,,1,,,
216614,accessory,1,1,,1,,,
216614,accessory,3,1,,1,,,
216614,accessory,4,1,,1,,,
216615,accessory,2,1,1,,,,
216615,accessory,3,1,1,,,,
216615,accessory,4,1,1,,,,
216618,accessory,1,1,,1,,,
216618,accessory,3,1,,1,,,
216618,accessory,4,1,,1,,,
216620,accessory,1,1,,1,,,
216620,accessory,3,1,,1,,,
216620,accessory,4,1,,1,,,
216622,accessory,1,1,,1,,,
216622,accessory,3,1,,1,,,
216622,accessory,4,1,,1,,,
216623,accessory,1,1,,1,,,
216623,accessory,3,1,,1,,,
216623,accessory,4,1,,1,,,
216624,accessory,1,1,,,,1,
216624,accessory,2,1,,,,1,
216624,accessory,3,1,,,,1,
216625,accessory,1,1,,1,,,
216625,accessory,3,1,,1,,,
216625,accessory,4,1,,1,,,
216626,accessory,1,1,,1,,,
216626,accessory,3,1,,1,,,
216626,accessory,4,1,,1,,,
216627,accessory,1,1,,1,,,
216627,accessory,3,1,,1,,,
216627,accessory,4,1,,1,,,
216628,core,1,2,,1,,1,
216628,core,3,2,,1,,1,
216629,accessory,1,1,,1,,1,
216629,accessory,3,1,,1,,1,
216630,core,1,3,,1,,,
216630,core,3,3,,1,,,
216630,core,4,3,,1,,,
216631,accessory,1,1,,1,,,
216631,accessory,3,1,,1,,,
216631,accessory,4,1,,1,,,
216633,accessory,1,1,,1,,,
216633,accessory,3,1,,1,,,
216633,accessory,4,1,,1,,,
216634,core,3,6,3,1,,,
216634,core,4,6,3,1,,,
216635,core,1,2,,1,,,
216635,core,3,2,,1,,,
216635,core,4,2,,1,,,
216638,accessory,1,1,,1,,,
216638,accessory,3,1,,1,,,
216638,accessory,4,1,,1,,,
216639,accessory,1,1,,1,,,
216639,accessory,3,1,,1,,,
216639,accessory,4,1,,1,,,
216641,accessory,1,1,,1,,,
216641,accessory,3,1,,1,,,
216641,accessory,4,1,,1,,,
216642,accessory,2,1,1,,,1,
216642,accessory,3,1,1,,,1,
216644,accessory,1,1,,1,,,
216644,accessory,3,1,,1,,,
216644,accessory,4,1,,1,,,
216645,accessory,1,1,,1,,,
216645,accessory,3,1,,1,,,
216645,accessory,4,1,,1,,,
216647,core,1,3,,2,,2,
216647,core,3,3,,2,,2,
216648,accessory,1,2,,1,2,1,
216649,accessory,1,1,,1,,,
216649,accessory,3,1,,1,,,
216649,accessory,4,1,,1,,,
216651,accessory,1,1,,1,,,
216651,accessory,3,1,,1,,,
216651,accessory,4,1,,1,,,
216653,accessory,1,1,,1,,,
216653,accessory,3,1,,1,,,
216653,accessory,4,1,,1,,,
216654,accessory,1,1,,1,,,
216654,accessory,3,1,,1,,,
216654,accessory,4,1,,1,,,
216655,accessory,1,1,,1,,,
216655,accessory,3,1,,1,,,
216655,accessory,4,1,,1,,,
216656,accessory,1,1,,1,,,
216656,accessory,3,1,,1,,,
216656,accessory,4,1,,1,,,
216658,accessory,1,1,,1,,1,
216658,accessory,3,1,,1,,1,
216660,accessory,1,1,,1,,,
216660,accessory,3,1,,1,,,
216660,accessory,4,1,,1,,,
216661,accessory,1,1,,1,,,
216661,accessory,3,1,,1,,,
216661,accessory,4,1,,1,,,
216662,accessory,1,1,,1,,,
216662,accessory,3,1,,1,,,
216662,accessory,4,1,,1,,,
216663,accessory,1,1,,1,,,
216663,accessory,3,1,,1,,,
216663,accessory,4,1,,1,,,
216664,accessory,1,1,,1,,,
216664,accessory,3,1,,1,,,
216664,accessory,4,1,,1,,,
216665,accessory,1,1,,1,,,
216665,accessory,3,1,,1,,,
216665,accessory,4,1,,1,,,
216667,accessory,1,1,,1,,,
216667,accessory,3,1,,1,,,
216667,accessory,4,1,,1,,,
216668,accessory,1,3,,3,2,1,
216669,accessory,1,2,,2,1,1,
216670,accessory,1,1,,1,1,,
216670,accessory,4,1,,1,1,,
216671,accessory,1,1,,1,,,
216671,accessory,3,1,,1,,,
216671,accessory,4,1,,1,,,
216672,core,4,2,1,1,1,,
216673,accessory,1,2,,2,1,1,
216674,accessory,1,2,,2,1,2,
216677,accessory,1,1,,1,,,
216677,accessory,3,1,,1,,,
216677,accessory,4,1,,1,,,
216679,accessory,1,1,,1,,,
216679,accessory,3,1,,1,,,
216679,accessory,4,1,,1,,,
216680,accessory,1,1,,1,,,
